,movie_id,country_name
1158,tt4157838,usa
1159,tt0308312,usa
1160,tt2215743,usa
1161,tt3548888,uk
1162,tt0449039,usa
1163,tt7423630,usa
1164,tt1613736,canada
1165,tt1043469,france
1166,tt0470458,usa
1167,tt2007507,usa
1168,tt0867449,usa
1169,tt2262429,usa
1170,tt2732092,"sweden, canada"
1171,tt0417422,philippines
1172,tt3089974,uk
1173,tt0149675,czechoslovakia
1174,tt3973094,germany
1175,tt0145800,germany
1176,tt1275753,france
1177,tt1450670,usa
1178,tt3531278,portugal
1179,tt1177164,usa
1180,tt4066200,uk
1181,tt0063149,sweden
1182,tt3901530,usa
1183,tt3707398,usa
1184,tt0262898,usa
1185,tt0455043,germany
1186,tt0206038,uk
1187,tt4861962,usa
1189,tt0355537,india
1190,tt1293771,usa
1192,tt5158254,usa
1193,tt0016123,usa
1194,tt1896857,usa
1195,tt2912056,finland
1196,tt0163403,usa
1197,tt1886571,usa
1198,tt3512152,italy
1199,tt5788660,usa
1200,tt0176350,hungary
1201,tt2932256,uk
1202,tt0237915,usa
1203,tt2229467,usa
1204,tt0121301,"mexico, usa"
1206,tt1943015,uk
1207,tt2565724,usa
1208,tt2216046,canada
1209,tt0092205,usa
1210,tt0193464,usa
1211,tt5276332,usa
1212,tt2396331,"pakistan, usa"
1213,tt4446220,usa
1214,tt0055463,uk
1215,tt1413939,usa
1216,tt0129612,usa
1217,tt4338724,usa
1218,tt0376165,canada
1219,tt0230474,"italy, usa"
1220,tt3184104,usa
1221,tt6848738,uk
1222,tt5171722,australia
1223,tt2635632,usa
1224,tt0301411,usa
1225,tt5390540,usa
1226,tt0783830,usa
1228,tt2191926,jamaica
1229,tt1169139,usa
1230,tt0012874,usa
1231,tt0773048,usa
1232,tt0075098,uk
1233,tt5724078,uk
1234,tt4462630,usa
1235,tt0152748,usa
1236,tt0047789,west germany
1237,tt4508776,usa
1238,tt0442325,denmark
1239,tt0039922,sweden
1240,tt0035183,usa
1241,tt1080695,denmark
1242,tt0053251,west germany
1243,tt1964705,usa
1244,tt0204252,egypt
1245,tt0098441,"uk, usa"
1246,tt2576896,usa
1247,tt0206678,argentina
1248,tt0168770,usa
1249,tt1580296,usa
1250,tt1175495,usa
1251,tt2396350,usa
1252,tt3855864,usa
1253,tt0013531,usa
1254,tt0496930,usa
1255,tt1316073,canada
1256,tt2262652,germany
1257,tt5949994,japan
1259,tt2218120,usa
1260,tt3294666,usa
1261,tt0000910,usa
1262,tt0055232,"usa, canada"
1263,tt2300674,usa
1265,tt2174015,israel
1266,tt2006194,usa
1267,tt2093213,usa
1269,tt1359013,usa
1270,tt4299026,"usa, bosnia and herzegovina, croatia, serbia, uk, serbia and montenegro"
1271,tt7230850,usa
1272,tt0275733,usa
1274,tt1754331,france
1275,tt1528765,finland
1276,tt1326249,usa
1277,tt1393737,canada
1278,tt0097126,west germany
1279,tt6711124,usa
1280,tt2158433,usa
1281,tt1366733,peru
