,movie_id,language_name
976,tt0167015,English
977,tt6318202,English
979,tt1863300,French
979,tt1863300,German
980,tt0965689,English
980,tt0965689,Italian
981,tt4220530,English
982,tt0025630,English
984,tt2022431,Arabic
985,tt4321284,English
986,tt2175713,English
987,tt1473440,English
990,tt0855725,English
991,tt1702383,English
992,tt0091983,English
993,tt5182820,English
994,tt2396396,English
996,tt1062328,English
997,tt1664037,English
998,tt6246170,Panjabi
998,tt6246170,English
998,tt6246170,Hindi
1000,tt2333946,English
1002,tt0466239,English
1003,tt3327138,English
1004,tt2379386,English
1005,tt1362466,English
1006,tt6064960,English
1007,tt2212046,English
1008,tt0057878,English
1009,tt1437431,English
1010,tt1868052,English
1011,tt1282486,English
1012,tt2832320,English
1013,tt1262948,English
1014,tt0333805,English
1015,tt2558596,English
1016,tt1490724,English
1018,tt0057928,Portuguese
1019,tt4536452,English
1020,tt4420538,English
1021,tt5932386,English
1022,tt5376074,Italian
1025,tt0002048,English
1026,tt2049383,English
1026,tt2049383,Hebrew
1027,tt0458708,English
1028,tt0132679,English
1029,tt0477091,English
1030,tt3834030,English
1031,tt2170631,English
1033,tt0300486,Arabic
1034,tt4898804,English
1035,tt4991294,English
1036,tt0226195,French
1036,tt0226195,English
1037,tt3093620,English
1038,tt2354614,German
1039,tt0106514,English
1040,tt1683904,English
1041,tt4420904,English
1043,tt4312762,English
1044,tt0326390,English
1045,tt2795754,English
1046,tt1164730,English
1047,tt3524344,English
1048,tt4711986,English
1049,tt1377162,English
1050,tt0110603,English
1051,tt1782502,English
1052,tt0105410,English
1054,tt1810687,English
1055,tt0945556,English
1056,tt0926058,English
1057,tt3443972,Spanish
1057,tt3443972,English
1058,tt1422032,Spanish
1058,tt1422032,Quechua
1058,tt1422032,English
1059,tt4340120,English
1060,tt1256520,English
1061,tt5147294,Hindi
1063,tt2377700,Italian
1064,tt4443718,English
1065,tt1864567,English
1067,tt5257422,English
1068,tt0073871,Italian
1069,tt0911003,English
1069,tt0911003,Polish
1070,tt1339491,English
1071,tt6280072,Hebrew
1072,tt3635180,English
1073,tt0133449,English
1074,tt3677232,English
1076,tt0335104,English
1077,tt2947326,English
1078,tt0027564,English
1079,tt4460094,English
1080,tt0149587,English
1082,tt3973146,English
1084,tt3237894,Czech
1084,tt3237894,English
1086,tt3462728,Spanish
1087,tt0039463,English
1088,tt2188653,French
1089,tt6092810,English
1091,tt0056252,English
