,movie_id,writer_name,writer_role
644,tt4491640,gustavo cerbasi,based on the book
645,tt4313554,harley granville-barker,english version
646,tt4313554,helen granville-barker,english version
647,tt4313554,gregorio martínez sierra,play
648,tt0161451,edward sheldon,play
649,tt0093228,hsing-kuo hsieh,screenplay
650,tt3909220,noel estillore,story
651,tt5488396,zachary labin,head writer
652,tt0093437,jan fischer,story
653,tt0093437,james jeremias,story
654,tt0093437,jan fischer,screenplay
655,tt0093437,james jeremias,screenplay
656,tt0093437,jeffrey boam,screenplay
657,tt2308593,rony patel,story
658,tt0468753,yukio mishima,novel
659,tt0468753,chihiro itô,screenplay
660,tt0468753,shinsuke sato,screenplay
661,tt0031982,douglas foster,screenplay
662,tt5843838,sheldon lettich,characters by
663,tt5843838,boaz yakin,characters by
664,tt3589886,max afford,play
665,tt0024144,austin parker,screen play
666,tt0024144,sheridan gibney,screen play
667,tt0024144,joseph santley,from the story by
668,tt3169710,vincent poymiro,contributing writer
669,tt0040876,alexandre dumas,novel
670,tt0040876,robert ardrey,screenplay
671,tt1688691,cica oyama,story
672,tt0400242,thom lange,screenplay
673,tt0400242,thom lange,story
674,tt0400242,tim mccall,story
675,tt5304586,charles hall,play
676,tt0839938,bill o'brien,book
677,tt1576382,diego dubcovsky,novel
678,tt0359575,greg igna de dios,story
679,tt2137286,craig gerber,creator
680,tt0005649,harvey gates,scenario
681,tt0005649,a.m. williamson,story
682,tt0005649,c.n. williamson,story
683,tt0055293,charlie drake,additional material
684,tt0055293,t.j. morrison,story
685,tt0055293,lew schwarz,screenplay
686,tt3100274,brian decubellis,screenplay
687,tt3100274,colin harrison,novel
688,tt2174926,dave campfield,screenplay
689,tt2174926,joe randazzo,screenplay
690,tt2174926,joe randazzo,story
691,tt2174926,sean steffen,story
692,tt1965171,charles dickens,novel
693,tt0424261,siham douguena,script
694,tt0009012,don bartlett,story
695,tt0048316,john patrick,screenplay
696,tt0048316,han suyin,novel
697,tt1034314,jarmo puskala,original concept
698,tt1034314,johanna sinisalo,based on a story by
699,tt1034314,michael kalesniko,screenplay by
700,tt1034314,timo vuorensola,screenplay by
701,tt0073454,nicholas meyer,teleplay
702,tt0073454,anthony wilson,teleplay
703,tt0073454,nicholas meyer,story
704,tt0073454,howard koch,"radio play ""invasion from mars"""
705,tt0111695,wilson rawls,"characters created in the novel ""where the red fern grows"""
706,tt0111695,samuel bradford,screenplay
707,tt0999910,jacob grimm,original story
708,tt0999910,wilhelm grimm,original story
709,tt0999910,tomoe takashi,script
710,tt2179231,warren dudley,screenplay
711,tt5205046,denys desjardins,original idea
712,tt0423444,didier caron,play
713,tt0423444,didier caron,screenplay
714,tt0037522,ben barzman,screenplay
715,tt0037522,richard h. landau,screenplay
716,tt0037522,æneas mackenzie,original story
717,tt0037522,william gordon,original story
718,tt2012560,misa yamamura,based on the novel by
719,tt2012560,hiroshi nagano,teleplay
720,tt0073622,chien chin,screenplay
721,tt0073622,ting hung kuo,story
722,tt0073622,han meng,story
723,tt1496897,jason impey,screenplay
724,tt0054295,sydney boehm,screenplay
725,tt0054295,max catto,novel
726,tt4171982,andreas gruber,screenplay
727,tt4171982,elisabeth escher,novel
728,tt4040042,bérénice andré,adaptation
729,tt4040042,bérénice andré,dialogue
730,tt4040042,agnès caffin,adaptation
731,tt4040042,agnès caffin,dialogue
732,tt4040042,olivier loustau,adaptation
733,tt4040042,olivier loustau,dialogue
734,tt4040042,olivier loustau,screenplay
735,tt0040182,bill scott,story
